work_id,author_id,author_name,institutions,author_position,is_corresponding
W3043664194,A5100649509,Xiaokang Li,Peking University; Microelectronica (Romania); Institute of Microelectronics,first,False
W3043664194,A5104063652,Bocheng Yu,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5100412555,Bowen Wang,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5083034691,Lin Bao,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5101653810,Baotong Zhang,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5100701173,Haixia Li,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5078861478,Zhizhen Yu,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5106417239,Teng Zhang,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5060275893,Yuancheng Yang,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5062886480,Ru Huang,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5054018432,Yanqing Wu,Peking University; Microelectronica (Romania); Institute of Microelectronics,middle,False
W3043664194,A5100351534,Ming Li,Peking University; Microelectronica (Romania); Institute of Microelectronics,last,True
W3135718280,A5003156343,Moonsang Lee,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,first,False
W3135718280,A5083378376,W. Park,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,middle,False
W3135718280,A5114174295,Hyungbin Son,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,middle,False
W3135718280,A5108838830,Ji Min Seo,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,middle,False
W3135718280,A5081289911,Oh‐Sung Kwon,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,middle,False
W3135718280,A5101622947,Seroc Oh,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,middle,False
W3135718280,A5003580684,Myung Gwan Hahm,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,middle,True
W3135718280,A5016959878,U. J. Kim,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,middle,True
W3135718280,A5015391135,Byungjin Cho,Chungbuk National University; Inha University; Samsung (South Korea); Chung-Ang University,last,True
W4308001804,A5100408550,Xue Chen,Shenzhen University,first,False
W4308001804,A5114930018,Bingkun Chen,Harbin Engineering University,middle,False
W4308001804,A5015552307,Bei Jiang,Hubei University,middle,False
W4308001804,A5045832473,Tengfei Gao,"University of California, Davis",middle,False
W4308001804,A5088694151,Gang Shang,Shenzhen University,middle,False
W4308001804,A5030507279,Su‐Ting Han,Shenzhen University,middle,False
W4308001804,A5066815533,Chi‐Ching Kuo,National Taipei University of Technology,middle,False
W4308001804,A5052224896,Vellaisamy A. L. Roy,University of Glasgow,middle,False
W4308001804,A5100635765,Ye Zhou,Shenzhen University,last,True
W3157683527,A5100450363,Shuo Zhang,Tianjin University of Technology; Nankai University,first,False
W3157683527,A5100588560,Kexin Guo,Tianjin University of Technology; Nankai University,middle,False
W3157683527,A5071277793,Hong Han,Tianjin University of Technology; Nankai University,middle,False
W3157683527,A5070509406,Haiyang Yu,Tianjin University of Technology; Nankai University,middle,False
W3157683527,A5066797937,Huanhuan Wei,Tianjin University of Technology; Nankai University,middle,False
W3157683527,A5101576789,Jiangdong Gong,Tianjin University of Technology; Nankai University,middle,False
W3157683527,A5022647373,Wentao Xu,Tianjin University of Technology; Nankai University,last,True
W4387116150,A5066053907,Xinming Zhuang,Shandong University; State Key Laboratory of Crystal Materials,first,False
W4387116150,A5072531994,Zixu Sa,Shandong University; State Key Laboratory of Crystal Materials,middle,False
W4387116150,A5100436914,Jie Zhang,Shandong University; State Key Laboratory of Crystal Materials,middle,False
W4387116150,A5117515680,Mingxu Wang,Shandong University; State Key Laboratory of Crystal Materials,middle,False
W4387116150,A5076396589,Mingsheng Xu,Shandong University; State Key Laboratory of Crystal Materials,middle,False
W4387116150,A5101831549,Fengjing Liu,Shandong University; State Key Laboratory of Crystal Materials,middle,False
W4387116150,A5005078126,Kepeng Song,Shandong University,middle,False
W4387116150,A5074727386,Tao He,Shandong University; State Key Laboratory of Crystal Materials,middle,False
W4387116150,A5100352728,Feng Chen,Shandong University; State Key Laboratory of Crystal Materials,middle,False
W4387116150,A5059085374,Zaixing Yang,Shandong University; State Key Laboratory of Crystal Materials,last,True
W4396888282,A5076694782,Hongyi Hong,Fuzhou University,first,False
W4396888282,A5040601048,Zunxian Yang,Tan Kah Kee Innovation Laboratory; Fuzhou University,middle,True
W4396888282,A5056707703,Yuliang Ye,Fuzhou University,middle,False
W4396888282,A5058651906,Songwei Ye,Fuzhou University,middle,False
W4396888282,A5101676425,Zhiming Cheng,Fuzhou University,middle,False
W4396888282,A5108711311,Zhiwei Zeng,Fuzhou University,middle,False
W4396888282,A5080561789,Zongyi Meng,Fuzhou University,middle,False
W4396888282,A5018602682,Qianting Lan,Fuzhou University,middle,False
W4396888282,A5100323575,Hui Zhang,Fuzhou University,middle,False
W4396888282,A5100359126,Ye Chen,Fuzhou University,middle,False
W4396888282,A5115695059,Jiaxiang Wang,Fuzhou University,middle,False
W4396888282,A5100731431,Yuting Bai,Fuzhou University,middle,False
W4396888282,A5085533260,Xudong Jiang,Fuzhou University,middle,False
W4396888282,A5102683504,Benfang Liu,Fuzhou University,middle,False
W4396888282,A5108980816,Jiajie Hong,Fuzhou University,middle,False
W4396888282,A5041813458,Zihong Shen,Fuzhou University,middle,False
W4396888282,A5101056220,Tailiang Guo,Tan Kah Kee Innovation Laboratory; Fuzhou University,middle,False
W4396888282,A5102000087,Yongai Zhang,Tan Kah Kee Innovation Laboratory; Fuzhou University,middle,False
W4396888282,A5004346711,Zhenzhen Weng,Fuzhou University,middle,False
W4396888282,A5068613301,Yongyi Chen,Fuzhou University,last,False
W3000389053,A5071277793,Hong Han,Tianjin University of Technology; Nankai University,first,False
W3000389053,A5083016192,Zhipeng Xu,Tianjin University of Technology; Nankai University,middle,False
W3000389053,A5100588560,Kexin Guo,Tianjin University of Technology; Nankai University,middle,False
W3000389053,A5038767359,Yao Ni,Tianjin University of Technology; Nankai University,middle,False
W3000389053,A5108702510,Mingxue Ma,Tianjin University of Technology; Nankai University,middle,False
W3000389053,A5070509406,Haiyang Yu,Tianjin University of Technology; Nankai University,middle,False
W3000389053,A5066797937,Huanhuan Wei,Tianjin University of Technology; Nankai University,middle,False
