work_id,display_name,doi,publication_year,cited_by_count,primary_location_source
W3043664194,Multi-terminal ionic-gated low-power silicon nanowire synaptic transistors with dendritic functions for neuromorphic systems,https://doi.org/10.1039/d0nr03141k,2020,48,Nanoscale
W3135718280,Brain-inspired ferroelectric Si nanowire synaptic device,https://doi.org/10.1063/5.0035220,2021,28,APL Materials
W4308001804,Nanowires for UV–vis–IR Optoelectronic Synaptic Devices,https://doi.org/10.1002/adfm.202208807,2022,154,Advanced Functional Materials
W3157683527,"Multiplexed Neurotransmission Emulated by a p–n Cross Nanowire Synaptic Transistor for Satiety, Depression, and Drug Withdrawal",https://doi.org/10.1002/adfm.202101917,2021,26,Advanced Functional Materials
W4387116150,An Amorphous Native Oxide Shell for High Bias‐Stress Stability Nanowire Synaptic Transistor,https://doi.org/10.1002/advs.202302516,2023,17,Advanced Science
W4396888282,Highly uniform organic nanowire synaptic arrays with excellent performance for associative memory,https://doi.org/10.1016/j.cej.2024.152244,2024,10,Chemical Engineering Journal
W3000389053,Tunable Synaptic Plasticity in Crystallized Conjugated Polymer Nanowire Artificial Synapses,https://doi.org/10.1002/aisy.201900176,2020,67,Advanced Intelligent Systems
W3161616159,Core-Shell Dual-Gate Nanowire Synaptic Transistor with Short/Long-Term Plasticity,https://doi.org/10.1109/edtm50988.2021.9420876,2021,5,
W4353045975,Nanowire-based synaptic devices for neuromorphic computing,https://doi.org/10.1088/2752-5724/acc678,2023,32,Materials Futures
W4408224953,Integrated Sensing–Memory–Computing Artificial Tactile System for Physiological Signal Processing Based on ITO Nanowire Synaptic Transistors,https://doi.org/10.1021/acsanm.5c00196,2025,4,ACS Applied Nano Materials
W4224983273,Enhanced Artificial Synaptic Properties Enabled by Arrays of Electrolyte-Gated Electrospun InZnO Nanowires,https://doi.org/10.1021/acsaelm.2c00326,2022,33,ACS Applied Electronic Materials
W4399379699,A bioinspired neuromuscular system enabled by flexible electro-optical N2200 nanowire synaptic transistor,https://doi.org/10.1088/2634-4386/ad54ea,2024,2,Neuromorphic Computing and Engineering
