title,authors,year,journal,abstract,keywords,citation
Photonics for artificial intelligence and neuromorphic computing,"Bhavin J. Shastri, Alexander N. Tait, T. Ferreira de Lima, Wolfram H. P. Pernice, Harish Bhaskaran, C. D. Wright, Paul R. Prucnal",2021,,,,1538
Opportunities for neuromorphic computing algorithms and applications,"Catherine D. Schuman, Shruti Kulkarni, Maryam Parsa, J. Parker Mitchell, Prasanna Date, Bill Kay",2022,,,,978
"Neuromorphic sensorimotor loop embodied by monolithically integrated, low-voltage, soft e-skin","Weichen Wang, Yuanwen Jiang, Donglai Zhong, Zhitao Zhang, Snehashis Choudhury, Jian‐Cheng Lai, Huaxin Gong, Simiao Niu, Xuzhou Yan, Yu Zheng, Chien‐Chung Shih, Rui Ning, Qing Lin, Deling Li, Yun‐Hi Kim, Jingwan Kim, Yixuan Wang, Chuanzhen Zhao, Chengyi Xu, Xiaozhou Ji, Yuya Nishio, Hao Lyu, Jeffrey B.‐H. Tok, Zhenan Bao",2023,,"Artificial skin that simultaneously mimics sensory feedback and mechanical properties of natural skin holds substantial promise for next-generation robotic and medical devices. However, achieving such a biomimetic system that can seamlessly integrate with the human body remains a challenge. Through rational design and engineering of material properties, device structures, and system architectures, we realized a monolithic soft prosthetic electronic skin (e-skin). It is capable of multimodal perception, neuromorphic pulse-train signal generation, and closed-loop actuation. With a trilayer, high-permittivity elastomeric dielectric, we achieved a low subthreshold swing comparable to that of polycrystalline silicon transistors, a low operation voltage, low power consumption, and medium-scale circuit integration complexity for stretchable organic devices. Our e-skin mimics the biological sensorimotor loop, whereby a solid-state synaptic transistor elicits stronger actuation when a stimulus of increasing pressure is applied.",,667
Embedded Devices for Neuromorphic Time-Series Assessment,"Arnab Neelim Mazumder, Morteza Hosseini, Tinoosh Mohsenin",2022,,"Modern computation based on the von Neumann architecture is today a mature cutting-edge science. In the Von Neumann architecture, processing and memory units are implemented as separate blocks interchanging data intensively and continuously. This data transfer is responsible for a large part of the power consumption. The next generation computer technology is expected to solve problems at the exascale with 1018 calculations each second. Even though these future computers will be incredibly powerful, if they are based on von Neumann type architectures, they will consume between 20 and 30 megawatts of power and will not have intrinsic physically built-in capabilities to learn or deal with complex data as our brain does. These needs can be addressed by neuromorphic computing systems which are inspired by the biological concepts of the human brain. This new generation of computers has the potential to be used for the storage and processing of large amounts of digital information with much lower power consumption than conventional processors. Among their potential future applications, an important niche is moving the control from data centers to edge devices. The aim of this Roadmap is to present a snapshot of the present state of neuromorphic technology and provide an opinion on the challenges and opportunities that the future holds in the major areas of neuromorphic technology, namely materials, devices, neuromorphic circuits, neuromorphic algorithms, applications, and ethics. The Roadmap is a collection of perspectives where leading researchers in the neuromorphic community provide their own view about the current state and the future challenges for each research area. We hope that this Roadmap will be a useful resource by providing a concise yet comprehensive introduction to readers outside this field, for those who are just entering the field, as well as providing future perspectives for those who are well established in the neuromorphic computing community.",,608
Advancing Neuromorphic Computing With Loihi: A Survey of Results and Outlook,"Mike Davies, Andreas Wild, Garrick Orchard, Yulia Sandamirskaya, G. A. Fonseca Guerra, Prasad Joshi, Philipp Plank, Sumedh R. Risbud",2021,,"Deep artificial neural networks apply principles of the brain's information processing that led to breakthroughs in machine learning spanning many problem domains. Neuromorphic computing aims to take this a step further to chips more directly inspired by the form and function of biological neural circuits, so they can process new knowledge, adapt, behave, and learn in real time at low power levels. Despite several decades of research, until recently, very few published results have shown that today's neuromorphic chips can demonstrate quantitative computational value. This is now changing with the advent of Intel's Loihi, a neuromorphic research processor designed to support a broad range of spiking neural networks with sufficient scale, performance, and features to deliver competitive results compared to state-of-the-art contemporary computing architectures. This survey reviews results that are obtained to date with Loihi across the major algorithmic domains under study, including deep learning approaches and novel approaches that aim to more directly harness the key features of spike-based neuromorphic hardware. While conventional feedforward deep neural networks show modest if any benefit on Loihi, more brain-inspired networks using recurrence, precise spike-timing relationships, synaptic plasticity, stochasticity, and sparsity perform certain computation with orders of magnitude lower latency and energy compared to state-of-the-art conventional approaches. These compelling neuromorphic networks solve a diverse range of problems representative of brain-like computation, such as event-based data processing, adaptive control, constrained optimization, sparse feature regression, and graph search.",,585
Large-scale neuromorphic optoelectronic computing with a reconfigurable diffractive processing unit,"Tiankuang Zhou, Xing Lin, Jiamin Wu, Yitong Chen, Hao Xie, Yipeng Li, Jingtao Fan, Huaqiang Wu, Lu Fang, Qionghai Dai",2021,,,,579
Dynamical memristors for higher-complexity neuromorphic computing,"Suhas Kumar, Xinxin Wang, John Paul Strachan, Yuchao Yang, Wei Lü",2022,,,,495
A flexible ultrasensitive optoelectronic sensor array for neuromorphic vision systems,"Qianbing Zhu, Bo Li, Dandan Yang, Chi Liu, Shun Feng, Maolin Chen, Yun Sun, Yanan Tian, Xin Su, Xiaomu Wang, Song Qiu, Qingwen Li, Xiaoming Li, Haibo Zeng, Hui–Ming Cheng, Dongming Sun",2021,,"The challenges of developing neuromorphic vision systems inspired by the human eye come not only from how to recreate the flexibility, sophistication, and adaptability of animal systems, but also how to do so with computational efficiency and elegance. Similar to biological systems, these neuromorphic circuits integrate functions of image sensing, memory and processing into the device, and process continuous analog brightness signal in real-time. High-integration, flexibility and ultra-sensitivity are essential for practical artificial vision systems that attempt to emulate biological processing. Here, we present a flexible optoelectronic sensor array of 1024 pixels using a combination of carbon nanotubes and perovskite quantum dots as active materials for an efficient neuromorphic vision system. The device has an extraordinary sensitivity to light with a responsivity of 5.1 × 10<sup>7</sup> A/W and a specific detectivity of 2 × 10<sup>16</sup> Jones, and demonstrates neuromorphic reinforcement learning by training the sensor array with a weak light pulse of 1 μW/cm<sup>2</sup>.",,413
Memristor‐Based Neuromorphic Chips,"Xuegang Duan, Zelin Cao, Kaikai Gao, Wentao Yan, Siyu Sun, Guangdong Zhou, Zhenhua Wu, Fenggang Ren, Bai Sun",2024,,"In the era of information, characterized by an exponential growth in data volume and an escalating level of data abstraction, there has been a substantial focus on brain-like chips, which are known for their robust processing power and energy-efficient operation. Memristors are widely acknowledged as the optimal electronic devices for the realization of neuromorphic computing, due to their innate ability to emulate the interconnection and information transfer processes witnessed among neurons. This review paper focuses on memristor-based neuromorphic chips, which provide an extensive description of the working principle and characteristic features of memristors, along with their applications in the realm of neuromorphic chips. Subsequently, a thorough discussion of the memristor array, which serves as the pivotal component of the neuromorphic chip, as well as an examination of the present mainstream neural networks, is delved. Furthermore, the design of the neuromorphic chip is categorized into three crucial sections, including synapse-neuron cores, networks on chip (NoC), and neural network design. Finally, the key performance metrics of the chip is highlighted, as well as the key metrics related to the memristor devices are employed to realize both the synaptic and neuronal components.",,335
Neuromorphic functions with a polyelectrolyte-confined fluidic memristor,"Tianyi Xiong, Changwei Li, Xiulan He, Boyang Xie, Jianwei Zong, Yanan Jiang, Wenjie Ma, Fei Wu, Junjie Fei, Ping Yu, Lanqun Mao",2023,,"Reproducing ion channel-based neural functions with artificial fluidic systems has long been an aspirational goal for both neuromorphic computing and biomedical applications. In this study, neuromorphic functions were successfully accomplished with a polyelectrolyte-confined fluidic memristor (PFM), in which confined polyelectrolyte-ion interactions contributed to hysteretic ion transport, resulting in ion memory effects. Various electric pulse patterns were emulated by PFM with ultralow energy consumption. The fluidic property of PFM enabled the mimicking of chemical-regulated electric pulses. More importantly, chemical-electric signal transduction was implemented with a single PFM. With its structural similarity to ion channels, PFM is versatile and easily interfaces with biological systems, paving a way to building neuromorphic devices with advanced functions by introducing rich chemical designs.",,319
