source,target,weight
W2112181056,W2162651880,82
W2798864635,W3103802336,48
W3204457379,W2772397789,45
W2772397789,W2979589704,45
W3204457379,W2979589704,42
W2112181056,W2526646482,41
W2798864635,W2980962992,41
W2923010225,W2526646482,39
W3204457379,W2887258823,39
W2112181056,W2016922062,37
W2979589704,W3122214732,37
W3204457379,W3175543427,37
W2591029953,W2807551379,36
W2438293582,W2807551379,36
W3204457379,W3122214732,36
W2772397789,W3122214732,36
W2980962992,W3103802336,36
W2980962992,W3033458297,35
W2980962992,W3175543427,35
W2772397789,W2887258823,34
W2778935320,W2112181056,33
W3204457379,W2584998015,33
W2032685465,W2980962992,33
W3096230432,W3128451613,32
W2591029953,W2883711383,32
W2778935320,W2923010225,31
W2778935320,W2526646482,31
W2526646482,W2016922062,31
W2798864635,W3033458297,31
W3022606092,W3100560308,31
W2138913040,W2783525259,31
W2438293582,W2591029953,30
W2957921024,W3009994855,30
W2526646482,W2071947829,30
W2900970864,W2807551379,29
W2923010225,W2112181056,29
W2772397789,W2971405544,29
W2887258823,W2979589704,29
W3204457379,W2980962992,29
W2887258823,W3022606092,29
W2942216650,W2591029953,28
W1542981317,W2778935320,28
W1542981317,W2112181056,28
W2018774711,W2112181056,28
W3204457379,W2526646482,28
W2584998015,W2772397789,28
W3204457379,W2971405544,28
W2126679727,W2980962992,28
W3204457379,W3033458297,28
W2887258823,W3100560308,28
W2016922062,W2162651880,28
W2016922062,W2071947829,28
W2806904536,W2807551379,27
W3204457379,W1977664984,27
W3204457379,W2103179919,27
W2032685465,W2798864635,27
W2126679727,W2887258823,27
W2971405544,W2979589704,27
W3204457379,W3022606092,27
W3204457379,W3100560308,27
W2526646482,W2162651880,27
W3033458297,W3103802336,27
W2591029953,W2138913040,26
W2018774711,W2526646482,26
W1542981317,W2526646482,26
W2032685465,W2126679727,26
W2126679727,W2798864635,26
W3033458297,W3175543427,26
W2798864635,W3175543427,26
W1542981317,W2071947829,26
W2781720065,W3103542076,26
W2591029953,W2778935320,25
W2902437043,W2957921024,25
W2778935320,W2018774711,25
W3204457379,W2126679727,25
W1977664984,W2772397789,25
W2584998015,W2887258823,25
W2584998015,W2979589704,25
W2980962992,W2068938816,25
W2980962992,W2985606391,25
W1542981317,W3003821665,25
W2955616491,W3105693422,25
W2584998015,W4210956562,25
W2979589704,W2171865010,25
W2887258823,W2171865010,25
W2772397789,W2171865010,25
W2772397789,W3160268997,25
W2923010225,W3204457379,24
W2807551379,W2883711383,24
W2778935320,W2016922062,24
W1977664984,W2584998015,24
W2126679727,W2772397789,24
W2526646482,W2772397789,24
W3204457379,W2798864635,24
W2971405544,W3122214732,24
W2887258823,W3122214732,24
W2584998015,W3122214732,24
W2887258823,W3175543427,24
W2126679727,W3175543427,24
W2923010225,W2162651880,24
