source,target,weight
A5019872023,A5026131298,16
A5022647373,A5038767359,14
A5068378610,A5083540416,11
A5022647373,A5101501404,10
A5068378610,A5041341620,10
A5003003045,A5062015167,10
A5030507279,A5100635765,9
A5022647373,A5057673735,9
A5062015167,A5083540416,9
A5041341620,A5083540416,9
A5022647373,A5059901053,9
A5100450363,A5022647373,8
A5068141753,A5056889940,8
A5066149433,A5068378610,8
A5066149433,A5041341620,8
A5041341620,A5003003045,8
A5068378610,A5003003045,8
A5041341620,A5062015167,8
A5068378610,A5062015167,8
A5003003045,A5083540416,8
A5066149433,A5083540416,8
A5022647373,A5100390361,8
A5102860593,A5100453158,8
A5036482535,A5089285304,8
A5066797937,A5022647373,7
A5022647373,A5083016192,7
A5077568694,A5100689942,7
A5022647373,A5072148831,7
A5015602102,A5085544847,7
A5066149433,A5003003045,7
A5066149433,A5062015167,7
A5100689942,A5037906999,7
A5019393830,A5100631186,7
A5100689942,A5070637789,6
A5070637789,A5073674667,6
A5100689942,A5073674667,6
A5073674667,A5015755241,6
A5070637789,A5015755241,6
A5100689942,A5015755241,6
A5041660505,A5019872023,6
A5041660505,A5026131298,6
A5019872023,A5081288641,6
A5009749427,A5026616959,6
A5005550195,A5085150253,6
A5100689942,A5009715450,6
A5101479332,A5033119230,6
A5033119230,A5100658559,6
A5070483433,A5068374060,6
A5030507279,A5080302864,6
A5019872023,A5020173494,6
A5100651891,A5072166118,6
A5101576789,A5022647373,5
A5071277793,A5022647373,5
A5100588560,A5022647373,5
A5083016192,A5038767359,5
A5066797937,A5038767359,5
A5013505991,A5057864063,5
A5034165453,A5100689942,5
A5109769588,A5100689942,5
A5101809151,A5100689942,5
A5100689942,A5015789051,5
A5015789051,A5070637789,5
A5077568694,A5070637789,5
A5015789051,A5073674667,5
A5077568694,A5073674667,5
A5015789051,A5015755241,5
A5077568694,A5015755241,5
A5038767359,A5101501404,5
A5038767359,A5057673735,5
A5060543616,A5024827835,5
A5026131298,A5081288641,5
A5022647373,A5029549576,5
A5052633614,A5014944655,5
A5041807127,A5037501448,5
A5014944655,A5037501448,5
A5052633614,A5037501448,5
A5019872023,A5024806651,5
A5038767359,A5059901053,5
A5009715450,A5101722736,5
A5100689942,A5101722736,5
A5009715450,A5037906999,5
A5057673735,A5100390361,5
A5038767359,A5100390361,5
A5101479332,A5100658559,5
A5022647373,A5100366557,5
A5079489298,A5004628694,5
A5004628694,A5061250524,5
A5079489298,A5061250524,5
A5011982600,A5031607034,5
A5019393830,A5090880595,5
A5100635765,A5080302864,5
A5003486126,A5003850300,5
A5021568652,A5043798820,5
A5064998541,A5043798820,5
A5041341620,A5036482535,5
A5068378610,A5036482535,5
A5057060014,A5036482535,5
A5041341620,A5089285304,5
A5068378610,A5089285304,5
A5057060014,A5089285304,5
