node_id,degree,weighted_degree,betweenness,pagerank,community
A5019872023,5,39,0.002408912978018669,0.027065911953543003,3
A5026131298,3,27,0.0,0.018143608577202135,3
A5022647373,14,104,0.02649804275820536,0.06441660360622117,0
A5038767359,7,44,0.0,0.025459309208442336,0
A5068378610,7,55,0.002258355916892502,0.017026033332193855,2
A5083540416,5,45,0.0,0.013573056431650594,2
A5101501404,2,15,0.0,0.009531189091854356,0
A5041341620,7,53,0.0013550135501355014,0.016498572074770495,2
A5003003045,5,41,0.0,0.012494358970144948,2
A5062015167,5,42,0.0,0.01275887881242543,2
A5030507279,2,15,0.0,0.013395384632665128,5
A5100635765,2,14,0.0,0.012571258951092491,5
A5057673735,3,19,0.0,0.011620223249543217,0
A5059901053,2,14,0.0,0.009004706896863907,0
A5100450363,1,8,0.0,0.0060190864755862395,0
A5068141753,1,8,0.0,0.012048192771084338,10
A5056889940,1,8,0.0,0.012048192771084338,10
A5066149433,5,38,0.0,0.011700816913811328,2
A5100390361,3,18,0.0,0.011077484290317546,0
A5102860593,1,8,0.0,0.012048192771084338,11
A5100453158,1,8,0.0,0.012048192771084338,11
A5036482535,4,23,0.000903342366757001,0.009526975380682581,2
A5089285304,4,23,0.000903342366757001,0.009526975380682581,2
A5066797937,2,12,0.0,0.007951742506883009,0
A5083016192,2,12,0.0,0.007951742506883009,0
A5077568694,4,22,0.0,0.012151143594445406,1
A5100689942,11,63,0.01324902137910268,0.03720570483171463,1
A5072148831,1,7,0.0,0.005492604280595791,0
A5015602102,1,7,0.0,0.012048192771084338,12
A5085544847,1,7,0.0,0.012048192771084338,12
A5037906999,2,12,0.0,0.008181039823201569,1
A5019393830,2,12,0.00030111412225233364,0.017575532686014923,6
A5100631186,1,7,0.0,0.010530738463278438,6
A5070637789,5,28,0.0,0.014999309141586406,1
A5073674667,5,28,0.0,0.014999309141586406,1
A5015755241,5,28,0.0,0.014999309141586406,1
A5041660505,2,12,0.0,0.008773743482191915,3
A5081288641,2,11,0.0,0.008202555809532035,3
A5009749427,1,6,0.0,0.012048192771084338,13
A5026616959,1,6,0.0,0.012048192771084338,13
A5005550195,1,6,0.0,0.012048192771084338,14
A5085150253,1,6,0.0,0.012048192771084338,14
A5009715450,3,16,0.0,0.010766828363296371,1
A5101479332,2,11,0.0,0.011730150415325914,7
A5033119230,2,12,0.0,0.012684277482601182,7
A5100658559,2,11,0.0,0.011730150415325914,7
A5070483433,1,6,0.0,0.012048192771084338,15
A5068374060,1,6,0.0,0.012048192771084338,15
A5080302864,2,11,0.0,0.010177934729495384,5
A5020173494,1,6,0.0,0.005346617446232632,3
A5100651891,1,6,0.0,0.012048192771084338,16
A5072166118,1,6,0.0,0.012048192771084338,16
A5101576789,1,5,0.0,0.004439639890614894,0
A5071277793,1,5,0.0,0.004439639890614894,0
A5100588560,1,5,0.0,0.004439639890614894,0
A5013505991,1,5,0.0,0.012048192771084338,17
A5057864063,1,5,0.0,0.012048192771084338,17
A5034165453,1,5,0.0,0.004317137575189875,1
A5109769588,1,5,0.0,0.004317137575189875,1
A5101809151,1,5,0.0,0.004317137575189875,1
A5015789051,4,20,0.0,0.011147180130634515,1
A5060543616,1,5,0.0,0.012048192771084338,18
A5024827835,1,5,0.0,0.012048192771084338,18
A5029549576,1,5,0.0,0.004439639890614894,0
A5052633614,2,10,0.0,0.011851943073585173,4
A5014944655,2,10,0.0,0.011851943073585173,4
A5041807127,1,5,0.0,0.006814867277409838,4
A5037501448,3,15,0.0006022282445046673,0.017674017659757162,4
A5024806651,1,5,0.0,0.004756719357804301,3
A5101722736,2,10,0.0,0.0071770763593906805,1
A5100366557,1,5,0.0,0.004439639890614894,0
A5079489298,2,10,0.0,0.012048192771084338,8
A5004628694,2,10,0.0,0.012048192771084338,8
A5061250524,2,10,0.0,0.012048192771084338,8
A5011982600,1,5,0.0,0.012048192771084338,19
A5031607034,1,5,0.0,0.012048192771084338,19
A5090880595,1,5,0.0,0.00803830716395964,6
A5003486126,1,5,0.0,0.012048192771084338,20
A5003850300,1,5,0.0,0.012048192771084338,20
A5021568652,1,5,0.0,0.00928452281361904,9
A5043798820,2,10,0.00030111412225233364,0.017575532686014927,9
A5064998541,1,5,0.0,0.00928452281361904,9
A5057060014,2,10,0.0,0.0053280676433972145,2
