source,target,weight
W3136584292,W4288083501,163
W4391836388,W4319987125,146
W3136584292,W3002930111,131
W4288083501,W3002930111,129
W3209232797,W3133966277,114
W4322753476,W4407979559,93
W3006656869,W3034197770,92
W3204131515,W4322617739,88
W2910098374,W4368372711,80
W3027252204,W3115785747,80
W3088467998,W4322617739,71
W4387244285,W4387244276,70
W4322617739,W4387037164,67
W3022429302,W3106648060,67
W4391733927,W4390773918,66
W3217414476,W4207038693,66
W3216358190,W4393217263,64
W4390031319,W4392295676,62
W3159512279,W4252915691,59
W4322617739,W4407551521,59
W4320811321,W2997162785,56
W3214815846,W3010339880,55
W4206270748,W3107460517,55
W4387037164,W4407551521,55
W3204131515,W3088467998,53
W4324311255,W4323653529,53
W4322617739,W4400246015,53
W4400246015,W4387037164,53
W4221132945,W4387803733,51
W4380989467,W4308821816,51
W4322617739,W4407456821,51
W4322617739,W4315927895,50
W4285501434,W4365479884,50
W4225256836,W4200207899,50
W4412085400,W4383710709,50
W3118297279,W4400317604,50
W3088467998,W4387037164,49
W3000591787,W3216358190,48
W3088467998,W4407551521,47
W4401218959,W4387952752,47
W3000591787,W3173865550,46
W4323653529,W4410041092,46
W4292547106,W4404500211,46
W4388145852,W4408363572,46
W4387803733,W4399042565,46
W4309821892,W4401919512,46
W4391883933,W4401464586,45
W4391883933,W4395466884,44
W4409394268,W4393947876,44
W4407551521,W4315927895,44
W3204131515,W3126895066,43
W3165794563,W3136745054,43
W4400246015,W4407551521,43
W3000591787,W3089089707,42
W3204131515,W3089089707,42
W3216358190,W3089089707,42
W4323653529,W4387952752,42
W4390272121,W4322617739,42
W4366386844,W4316362981,42
W3023587085,W3203804346,41
W4308256620,W4378801788,41
W4353045975,W4410325695,40
W4313656749,W3196284517,40
W4309554694,W4366386844,40
W4304187434,W4395466884,40
W4402503631,W4320002484,39
W4390272121,W4387037164,39
W3084232068,W4362514357,39
W4387877505,W4387037164,39
W4382199212,W4200475560,39
W3175543427,W3213043922,38
W4402503631,W4409394268,38
W4402625559,W4398248453,38
W3000591787,W3204131515,38
W3204131515,W4387037164,38
W4323653529,W4206210733,38
W4387877505,W4322617739,38
W4400246015,W4315927895,38
W4404500211,W4380986294,38
W3176979027,W3168689319,38
W4308001804,W4353045975,37
W3000591787,W3010339880,37
W3204131515,W4315927895,37
W4323653529,W4322617739,37
W4412949804,W4322617739,37
W4307919194,W4388869413,37
W3134642074,W4285495317,37
W3175543427,W3137061032,36
W4402503631,W4386851191,36
W3000591787,W4321018906,36
W4323653529,W4362506137,36
W3134257467,W4362506137,36
W4407456821,W4387037164,36
W4387037164,W4315927895,36
W4403467498,W4407551521,36
W3137061032,W3107364045,36
W4402503631,W4318763102,35
W4388071659,W4285501434,35
W4390272121,W4400246015,35
W3214815846,W4366827991,35
